"Query_sequence_ID"	"Subject_sequence_ID"	"Percent_identity"	"Alignment_length"	"Number_of_mismatches"	"Number_of_gap_openings"	"Start_position_in_query_sequence"	"End_position_in_query_sequence"	"Start_position_in_subject_sequence"	"End_position_in_subject_sequence"	"E-value"	"Bit_score"	"Genome_ID"
"tauB"	"NODE_218_length_130159_cov_59.208057"	45.622	217	118	0	28	678	1809	1159	3.6e-64	245	"CNA0052277"
"tauB"	"NODE_44_length_199230_cov_653.521702"	45.622	217	118	0	28	678	158044	158694	2.62e-64	245	"GCA_009840105.1"
"tauB"	"NODE_146_length_182994_cov_12.837946"	45.622	217	118	0	28	678	99833	99183	4.94e-64	244	"GCA_028819005.1"
"tauB"	"NODE_160_length_127340_cov_21.3657"	45.622	217	118	0	28	678	94928	95578	4.94e-64	244	"GCA_028824665.1"
"tauB"	"MPNQ01000012.1"	45.498	211	115	0	46	678	29115	28483	2.42e-63	242	"GCA_002239105.1"
"tauB"	"NODE_1184_length_20917_cov_24.427380"	45.622	217	118	0	28	678	7749	7099	6.27e-63	241	"GCA_009835395.1"
"tauB"	"c_000000152767"	47.317	205	108	0	46	660	16054	15440	1.18e-62	240	"GCA_026713105.1"
"tauB"	"NODE_1001_length_45797_cov_126.679157"	45.161	217	119	0	28	678	3654	3004	2.24e-62	239	"CNA0052317"
"tauB"	"c_000000191071"	45.161	217	119	0	28	678	2288	1638	5.79e-62	237	"GCA_026712705.1"
"tauB"	"NODE_402_length_69216_cov_23.189"	46.305	203	109	0	46	654	57419	58027	9.18e-65	236	"GCA_026706815.1"
"tauB"	"NODE_539_length_59927_cov_644.827315"	45.714	210	114	0	46	675	9227	9856	7.96e-58	224	"GCA_009840105.1"
"tauB"	"NODE_504_length_70119_cov_35.025976"	45.714	210	114	0	46	675	15921	15292	1.5e-57	223	"CNA0052255"
"tauB"	"NODE_1385_length_41635_cov_40.498894"	45.238	210	115	0	46	675	6503	7132	2.83e-57	222	"CNA0052423"
"tauB"	"MPNQ01000025.1"	44.286	210	117	0	46	675	23428	22799	7.39e-57	221	"GCA_002239105.1"
"tauB"	"NODE_289_length_100977_cov_21.280960"	46.907	194	103	0	46	627	32902	32321	3.89e-57	221	"CNA0052254"
"tauB"	"NODE_6_length_546447_cov_33.4279"	45.238	210	115	0	46	675	60935	61564	5.35e-57	221	"GCA_026705465.1"
"tauB"	"NODE_770_length_52839_cov_19.041187"	45.238	210	115	0	46	675	36849	36220	7.35e-57	221	"CNA0052615"
"tauB"	"NODE_79_length_236177_cov_10.458953"	45.238	210	115	0	46	675	118231	118860	5.38e-57	221	"CNS0798324"
"tauB"	"NODE_205_length_83209_cov_32.3927"	45.238	210	115	0	46	675	42417	43046	1.39e-56	220	"GCA_026708015.1"
"tauB"	"NODE_421_length_64852_cov_22.8538"	45.238	210	115	0	46	675	52568	51939	1.91e-56	219	"GCA_026705625.1"
"tauB"	"NODE_2856_length_29617_cov_27.399939"	44.762	210	116	0	46	675	24401	23772	3.6e-56	218	"GCA_028819295.1"
"tauC"	"c_000000046727"	52.047	171	82	0	208	720	2259	2771	5.42e-56	218	"GCA_026710865.1"
"tauC"	"c_000000114060"	53.801	171	79	0	208	720	5703	5191	3.96e-56	218	"GCA_026713045.1"
"tauC"	"c_000000191071"	53.801	171	79	0	208	720	1046	534	6.65e-57	218	"GCA_026712705.1"
"tauC"	"NODE_1184_length_20917_cov_24.427380"	51.149	174	85	0	199	720	6560	6039	5.42e-56	218	"GCA_009835395.1"
"tauB"	"NODE_5451_length_11478_cov_9.390090"	46.97	198	105	0	34	627	1836	1243	9.33e-56	217	"CNA0052371"
"tauB"	"NODE_12359_length_3804_cov_2.641504"	46.465	198	106	0	34	627	837	244	1.76e-55	216	"CNA0052614"
"tauC"	"c_000000132667"	50	174	87	0	199	720	2149	2670	1.93e-55	216	"GCA_026713745.1"
"tauC"	"NODE_146_length_182994_cov_12.837946"	52.632	171	81	0	208	720	98634	98122	1.93e-55	216	"GCA_028819005.1"
"tauC"	"NODE_160_length_127340_cov_21.3657"	52.632	171	81	0	208	720	96127	96639	1.93e-55	216	"GCA_028824665.1"
"tauC"	"NODE_1624_length_29987_cov_12.723039"	53.216	171	80	0	208	720	13049	13561	1.41e-55	216	"CNS0798324"
"tauC"	"NODE_218_length_130159_cov_59.208057"	53.216	171	80	0	208	720	607	95	1.93e-55	216	"CNA0052277"
"tauC"	"NODE_223_length_98045_cov_35.2742"	53.216	171	80	0	208	720	46624	46112	1.93e-55	216	"GCA_026705465.1"
"tauC"	"NODE_402_length_69216_cov_23.189"	53.801	171	79	0	208	720	58540	59052	1.41e-55	216	"GCA_026706815.1"
"tauC"	"NODE_431_length_64174_cov_26.9884"	53.216	171	80	0	208	720	20916	21428	1.41e-55	216	"GCA_026705625.1"
"tauC"	"NODE_44_length_199230_cov_653.521702"	53.216	171	80	0	208	720	159246	159758	1.93e-55	216	"GCA_009840105.1"
"tauC"	"NODE_85_length_144186_cov_34.584"	53.216	171	80	0	208	720	129255	129767	1.41e-55	216	"GCA_026708015.1"
"tauC"	"c_000000152767"	52.047	171	82	0	208	720	14873	14361	3.65e-55	215	"GCA_026713105.1"
"tauC"	"MPNQ01000012.1"	52.632	171	81	0	208	720	27931	27419	2.65e-55	215	"GCA_002239105.1"
"tauC"	"NODE_1048_length_23859_cov_61.249790"	52.047	171	82	0	208	720	14613	14101	3.66e-55	215	"GCA_009837445.1"
"tauC"	"NODE_4360_length_11244_cov_30.961659"	52.047	171	82	0	208	720	7165	6653	3.65e-55	215	"CNA0052614"
"tauC"	"NODE_1640_length_15787_cov_85.456712"	52.047	171	82	0	208	720	9190	9702	6.88e-55	214	"GCA_009843915.1"
"tauC"	"NODE_3193_length_8618_cov_75.142824"	52.047	171	82	0	208	720	6601	6089	6.88e-55	214	"GCA_009837475.1"
"tauC"	"NODE_513_length_61362_cov_16.1427"	50.575	174	86	0	199	720	30001	30522	6.88e-55	214	"GCA_028824415.1"
"tauB"	"NODE_144_length_102552_cov_20.7461"	45.361	194	106	0	46	627	83462	84043	1.63e-54	213	"GCA_026708055.1"
"tauB"	"NODE_61_length_111989_cov_22.770445"	45.361	194	106	0	46	627	80749	80168	2.23e-54	212	"GCA_009835395.1"
"tauB"	"NODE_334_length_82057_cov_13.2025"	44.845	194	107	0	46	627	44675	44094	4.22e-54	211	"GCA_028824415.1"
"tauC"	"NODE_1001_length_45797_cov_126.679157"	52.047	171	82	0	208	720	2527	2015	6.36e-54	211	"CNA0052317"
"tauB"	"c_000000030639"	45.361	194	106	0	46	627	7165	7746	7.96e-54	210	"GCA_026713745.1"
"tauC"	"NODE_15530_length_3563_cov_11.212942"	50.292	171	85	0	208	720	3029	3541	8.73e-54	210	"CNA0052371"
"tauB"	"NODE_210_length_82362_cov_21.4179"	52.761	163	77	0	46	534	32466	31978	2.53e-58	205	"GCA_026708055.1"
"tauB"	"c_000000114204"	41.232	211	124	0	25	657	10306	10938	6.3e-51	201	"GCA_026710865.1"
"tauB"	"NODE_519_length_90671_cov_45.557231"	40.284	211	126	0	25	657	79935	80567	7.39e-49	194	"CNA0052472"
"tauB"	"PAPO01000014.1"	49.315	146	74	0	211	648	70311	70748	1.38e-55	180	"GCA_002708935.1"
"tauB"	"DKNM01000066.1"	49.315	146	74	0	211	648	2000	1563	4.53e-54	179	"GCA_002470695.1"
"tauB"	"NTLA01000003.1"	48.63	146	75	0	211	648	43841	44278	7.57e-53	175	"GCA_002457435.1"
"tauB"	"PBHE01000027.1"	49.64	139	70	0	211	627	27817	27401	5.72e-50	171	"GCA_002719335.1"
"tauB"	"NODE_1672_length_20854_cov_14.0726"	49.342	152	77	0	205	660	17299	16844	8.65e-51	170	"GCA_028824415.1"
"tauB"	"NODE_98_length_133150_cov_23.425"	49.324	148	75	0	217	660	33727	34170	1.06e-49	168	"GCA_026708055.1"
"tauB"	"NODE_158_length_79248_cov_24.346710"	49.324	148	75	0	217	660	2353	1910	5.7e-50	167	"GCA_009835395.1"
"tauB"	"NODE_184_length_66170_cov_10.7451"	49.324	148	75	0	217	660	7935	8378	2e-49	167	"GCA_026707305.1"
"tauB"	"c_000000523830"	49.324	148	75	0	217	660	2368	2811	7.19e-49	166	"GCA_026713745.1"
"tauB"	"NODE_1189_length_39401_cov_105.665328"	45.578	147	80	0	220	660	4704	4264	7.12e-49	157	"CNA0052317"
"tauB"	"QIIW01000152.1"	45.946	148	80	0	217	660	82360	81917	7.03e-49	157	"GCA_003231645.1"
"tauB"	"c_000000030197"	48.529	136	70	0	220	627	5551	5144	2.24e-50	156	"GCA_026712705.1"
"tauB"	"NODE_1355_length_54613_cov_29.936141"	45.946	148	80	0	217	660	8268	8711	1.46e-49	156	"GCA_028819295.1"
"tauB"	"NODE_128_length_102244_cov_119.970447"	45.578	147	80	0	220	660	25496	25936	2.48e-48	155	"GCA_011523825.1"
"tauB"	"NODE_149_length_121142_cov_24.395"	45.695	151	82	0	217	669	15856	15404	1.45e-49	155	"GCA_026705625.1"
"tauB"	"NODE_390_length_87619_cov_56.404835"	45.033	151	83	0	217	669	4340	4792	5.14e-49	155	"CNA0052277"
"tauB"	"NODE_52_length_202116_cov_35.4379"	45.033	151	83	0	217	669	158327	157875	1.98e-49	155	"GCA_026705465.1"
"tauB"	"NODE_654_length_59195_cov_20.346381"	45.033	151	83	0	217	669	15380	14928	2.01e-49	155	"CNA0052615"
"tauB"	"NODE_81_length_234972_cov_11.009863"	45.033	151	83	0	217	669	122601	123053	5.1e-49	155	"CNS0798324"
"tauB"	"NODE_25_length_188625_cov_22.208564"	44.371	151	84	0	217	669	112514	112966	8.54e-51	154	"CNA0052337"
"tauB"	"NODE_651_length_25407_cov_10.6109"	46.528	144	77	0	196	627	1	432	7.36e-37	154	"GCA_026707305.1"
"tauB"	"NODE_79_length_159291_cov_643.690359"	44.371	151	84	0	217	669	115264	114812	2.48e-48	154	"GCA_009840105.1"
"tauB"	"NODE_228_length_78562_cov_30.4277"	44.371	151	84	0	217	669	10956	11408	1.32e-48	153	"GCA_026708015.1"
"tauB"	"NODE_5059_length_9577_cov_25.551565"	47.059	136	72	0	220	627	1224	817	2.03e-49	153	"CNA0052614"
"tauB"	"NODE_60_length_127855_cov_21.462778"	48.905	137	70	0	217	627	125147	124737	2.73e-49	152	"CNA0052627"
"tauC"	"NODE_12359_length_3804_cov_2.641504"	41.139	158	93	0	247	720	1484	1011	4.55e-37	152	"CNA0052614"
"tauB"	"NODE_26_length_240057_cov_67.967917"	46.324	136	73	0	220	627	108771	109178	6.99e-49	151	"GCA_009837475.1"
"tauB"	"NODE_42_length_191157_cov_51.359714"	47.059	136	72	0	220	627	35324	34917	6.35e-48	151	"GCA_009837445.1"
"tauB"	"NODE_47_length_229576_cov_110.342"	47.059	136	72	0	220	627	225229	224822	7.92e-47	151	"GCA_028824625.1"
"tauC"	"NODE_5451_length_11478_cov_9.390090"	41.139	158	93	0	247	720	2483	2010	6.17e-37	151	"CNA0052371"
"tauB"	"NODE_712_length_54362_cov_41.032795"	44.595	148	82	0	217	660	5305	4862	2.27e-47	149	"CNA0052255"
"tauB"	"NODE_99_length_148995_cov_23.8876"	47.059	136	72	0	220	627	833	426	2.03e-46	149	"GCA_026706815.1"
"tauC"	"NODE_1328_length_31326_cov_21.635765"	40	165	99	0	226	720	18530	19024	3.67e-35	149	"CNA0052254"
"tauB"	"MPNQ01000007.1"	43.919	148	83	0	217	660	10568	10125	1.49e-46	148	"GCA_002239105.1"
"tauB"	"NODE_1087_length_51069_cov_151.386992"	46.324	136	73	0	220	627	27912	27505	4.69e-48	148	"SAMN15855452"
"tauB"	"NODE_12522_length_4504_cov_7.543043"	47.059	136	72	0	220	627	1564	1971	4.89e-45	148	"CNA0052371"
"tauB"	"NODE_17295_length_2719_cov_2.576201"	41.718	163	95	0	166	654	1769	1281	8.67e-35	147	"CNA0052614"
"tauB"	"NODE_68_length_149351_cov_53.333746"	41.975	162	94	0	166	651	116635	116150	1.63e-38	147	"GCA_009837445.1"
"tauB"	"c_000000250009"	47.059	136	72	0	220	627	14524	14931	1.37e-45	146	"GCA_026713045.1"
"tauB"	"NODE_18_length_292436_cov_73.035522"	44.444	144	80	0	199	630	41728	41297	2.23e-47	146	"GCA_009837475.1"
"tauB"	"NODE_556_length_58466_cov_20.4704"	46.324	136	73	0	220	627	9712	9305	1.1e-46	146	"GCA_028824665.1"
"tauC"	"c_000000336104"	39.394	165	100	0	226	720	3357	3851	4.65e-34	145	"GCA_026713745.1"
"tauB"	"NODE_1934_length_26780_cov_43.866904"	43.75	144	81	0	199	630	11831	12262	1.1e-46	144	"CNA0052472"
"tauB"	"NODE_4348_length_10516_cov_52.357327"	46.324	136	73	0	220	627	7358	7765	8.12e-47	144	"CNA0052472"
"tauB"	"NODE_53_length_137256_cov_62.658465"	46.324	136	73	0	220	627	114977	114570	7.95e-47	144	"GCA_009843915.1"
"tauC"	"NODE_115_length_119787_cov_21.683"	39.394	165	100	0	226	720	17536	17042	6.39e-34	144	"GCA_026708055.1"
"tauC"	"NODE_1274_length_27432_cov_13.939"	39.394	165	100	0	226	720	3124	2630	6.39e-34	144	"GCA_028824415.1"
"tauC"	"NODE_699_length_30533_cov_21.197191"	39.394	165	100	0	226	720	19134	19628	6.39e-34	144	"GCA_009835395.1"
"tauC"	"NODE_804_length_21042_cov_10.346"	39.394	165	100	0	226	720	13554	14048	6.39e-34	144	"GCA_026707305.1"
"tauB"	"MPNQ01000041.1"	47.727	132	69	0	220	615	24668	25063	5.6e-41	143	"GCA_002239105.1"
"tauB"	"MPNQ01000010.1"	44.853	136	75	0	208	615	94853	95260	2.53e-40	141	"GCA_002239105.1"
"tauB"	"NODE_2308_length_14941_cov_12.9559"	45.455	132	72	0	220	615	2978	3373	5.38e-33	141	"GCA_028824415.1"
"tauB"	"NODE_238_length_61589_cov_24.228199"	45.455	132	72	0	220	615	2964	3359	5.36e-33	141	"GCA_009835395.1"
"tauB"	"NODE_44_length_332596_cov_9.956580"	45.455	132	72	0	220	615	213004	212609	5.36e-33	141	"CNS0798324"
"tauB"	"NODE_754_length_78314_cov_30.635595"	45.588	136	74	0	208	615	11976	12383	7.4e-33	141	"GCA_028819295.1"
"tauB"	"NODE_1554_length_48944_cov_26.836159"	45.455	132	72	0	220	615	30605	30210	1.02e-32	140	"GCA_028819295.1"
"tauB"	"NODE_242_length_91143_cov_627.601814"	45.455	132	72	0	220	615	30255	29860	3.14e-43	140	"GCA_009840105.1"
"tauB"	"NODE_40_length_392161_cov_41.931608"	45.455	132	72	0	220	615	200509	200904	2.3e-41	140	"CNA0052423"
"tauB"	"NODE_43_length_213925_cov_22.7862"	45.455	132	72	0	220	615	150837	151232	9.1e-39	140	"GCA_026705625.1"
"tauB"	"NODE_687_length_55535_cov_58.584499"	45.455	132	72	0	220	615	33880	33485	1.02e-32	140	"CNA0052277"
"tauB"	"c_000000098083"	41.781	146	85	0	217	654	9074	9511	3.22e-44	139	"GCA_026710865.1"
"tauB"	"NODE_16562_length_4630_cov_153.368306"	41.096	146	86	0	217	654	2564	3001	5.5e-43	139	"SAMN15855452"
"tauB"	"NODE_22_length_152870_cov_44.8621"	41.096	146	86	0	217	654	140607	141044	4.32e-44	139	"GCA_026709125.1"
"tauB"	"NODE_32_length_206194_cov_115.974653"	45.588	136	74	0	208	615	129304	129711	2.62e-32	139	"GCA_011523825.1"
"tauB"	"NODE_37_length_221227_cov_33.573"	44.853	136	75	0	208	615	162600	163007	2.67e-39	139	"GCA_026708015.1"
"tauB"	"NODE_484_length_97378_cov_49.399330"	44.853	136	75	0	208	615	93863	94270	1.91e-32	139	"CNA0052423"
"tauB"	"NODE_5429_length_8043_cov_27.409364"	41.379	145	85	0	217	651	1830	1396	1.03e-42	139	"CNA0052333"
"tauB"	"NODE_54_length_182679_cov_30.8157"	44.697	132	73	0	220	615	155198	155593	2.63e-32	139	"GCA_026708015.1"
"tauB"	"NODE_6834_length_6166_cov_11.979709"	44.853	136	75	0	208	615	2731	3138	1.91e-32	139	"CNS0798324"
"tauB"	"NODE_75_length_173399_cov_33.0354"	45.455	132	72	0	220	615	76373	76768	9.4e-39	139	"GCA_026705465.1"
"tauB"	"NODE_91_length_126179_cov_53.278107"	45.113	133	73	0	217	615	45380	44982	3.24e-38	139	"GCA_009837445.1"
"tauB"	"NODE_966_length_43400_cov_18.666374"	44.697	132	73	0	220	615	34523	34128	2.63e-32	139	"CNA0052615"
"tauB"	"RFFY01000132.1"	42.759	145	83	0	217	651	1619	1185	3.98e-43	139	"GCA_003697065.1"
"tauB"	"c_000000004797"	44.853	136	75	0	208	615	102920	102513	6.8e-32	138	"GCA_026713105.1"
"tauB"	"c_000000179827"	44.697	132	73	0	220	615	3047	3442	3.6e-32	138	"GCA_026713745.1"
"tauB"	"NODE_10238_length_5614_cov_9.400252"	40.69	145	86	0	217	651	1864	1430	4.01e-43	138	"CNA0052371"
"tauB"	"NODE_106_length_176461_cov_36.373445"	44.697	132	73	0	220	615	115613	116008	6.8e-32	138	"CNA0052255"
"tauB"	"NODE_115_length_170987_cov_22.907800"	42.069	145	84	0	217	651	69425	68991	9.04e-42	138	"CNA0052254"
"tauB"	"NODE_1739_length_22922_cov_64.332357"	44.853	136	75	0	208	615	19487	19894	3.6e-32	138	"CNA0052277"
"tauB"	"NODE_3220_length_8540_cov_51.960047"	37.654	162	101	0	166	651	6609	7094	6.8e-32	138	"GCA_009837445.1"
"tauB"	"NODE_4267_length_11507_cov_21.524188"	45.865	133	72	0	217	615	4627	5025	1.29e-38	138	"CNA0052614"
"tauB"	"NODE_4507_length_10105_cov_58.220000"	41.781	146	85	0	217	654	8072	8509	1.56e-43	138	"CNA0052472"
"tauB"	"NODE_4670_length_4916_cov_36.4114"	44.853	136	75	0	208	615	3563	3156	3.62e-32	138	"GCA_026705465.1"
"tauB"	"NODE_4994_length_12611_cov_9.177843"	45.113	133	73	0	217	615	5627	5229	8.53e-38	138	"CNA0052371"
"tauB"	"NODE_167_length_80918_cov_26.380891"	45.865	133	72	0	217	615	8221	7823	9.34e-32	137	"CNA0052627"
"tauB"	"NODE_237_length_72354_cov_65.537794"	41.096	146	86	0	217	654	70285	70722	1.11e-43	137	"GCA_009837475.1"
"tauB"	"NODE_470_length_104605_cov_12.705921"	44.361	133	74	0	217	615	3318	2920	6.75e-39	137	"GCA_028819005.1"
"tauB"	"QIIW01000002.1"	42.759	145	83	0	217	651	1446	1012	2.9e-43	137	"GCA_003231645.1"
"tauB"	"MPNQ01000011.1"	53.398	103	48	0	319	627	44197	44505	2.17e-45	136	"GCA_002239105.1"
"tauB"	"NODE_2227_length_12369_cov_66.438606"	41.096	146	86	0	217	654	2069	1632	2.63e-42	136	"GCA_009843915.1"
"tauB"	"NODE_305_length_85855_cov_13.2383"	45.113	133	73	0	217	615	67718	67320	2.42e-31	136	"GCA_028824415.1"
"tauB"	"NODE_4033_length_10612_cov_4.590888"	53.398	103	48	0	319	627	6272	5964	2e-44	136	"CNA0052277"
"tauB"	"c_000000183554"	44.361	133	74	0	217	615	16070	16468	4.59e-31	135	"GCA_026713105.1"
"tauB"	"NODE_190_length_107789_cov_24.2823"	45.865	133	72	0	217	615	60671	60273	5.34e-43	135	"GCA_026706815.1"
"tauB"	"NODE_284_length_82128_cov_637.123756"	44.118	136	76	0	208	615	3581	3174	3.33e-31	135	"GCA_009840105.1"
"tauB"	"c_000000237595"	50	112	56	0	322	657	15906	16241	3.04e-45	134	"GCA_026710865.1"
"tauB"	"DKNM01000122.1"	44.361	133	74	0	217	615	11935	11537	3e-37	134	"GCA_002470695.1"
"tauB"	"NODE_121_length_189415_cov_11.625597"	53.398	103	48	0	319	627	109676	109368	1.02e-44	134	"CNS0798324"
"tauB"	"NODE_1769_length_19667_cov_13.1987"	45.865	133	72	0	217	615	412	810	1.89e-45	134	"GCA_028824415.1"
"tauB"	"NODE_207_length_160066_cov_13.071883"	44.118	136	76	0	208	615	67694	67287	7.58e-40	134	"GCA_028819005.1"
"tauB"	"NODE_25_length_307653_cov_20.8766"	45.865	133	72	0	217	615	49962	50360	1.24e-41	134	"GCA_028824665.1"
"tauB"	"NODE_520_length_37349_cov_22.822626"	41.379	145	85	0	217	651	29008	29442	4.02e-40	134	"GCA_009835395.1"
"tauC"	"NODE_7378_length_5913_cov_45.098839"	51.786	112	54	0	385	720	5311	4976	6.89e-31	134	"CNA0052277"
"tauB"	"NODE_1026_length_52646_cov_9.106368"	43.609	133	75	0	217	615	39961	39563	1.03e-36	133	"CNA0052371"
"tauB"	"NODE_109_length_122627_cov_21.2716"	40.69	145	86	0	217	651	72731	73165	7.42e-40	133	"GCA_026708055.1"
"tauB"	"NODE_1382_length_39105_cov_58.319565"	45.455	132	72	0	220	615	29753	29358	1.64e-30	133	"CNA0052472"
"tauB"	"NODE_1615_length_29565_cov_23.341105"	41.379	145	85	0	217	651	28179	27745	9.23e-42	133	"CNA0052614"
"tauB"	"NODE_1682_length_9397_cov_10.058"	40.69	145	86	0	217	651	3079	3513	2.17e-40	133	"GCA_026707305.1"
"tauB"	"NODE_222_length_132879_cov_121.615130"	45.455	132	72	0	220	615	103507	103112	1.63e-30	133	"CNA0052317"
"tauB"	"NODE_2553_length_17300_cov_103.446970"	41.379	145	85	0	217	651	11060	11494	1.15e-40	133	"GCA_009840735.1"
"tauB"	"NODE_2_length_287443_cov_40.269"	42.857	133	76	0	217	615	208869	208471	4.88e-39	133	"GCA_026709125.1"
"tauB"	"NODE_37_length_207788_cov_55.877400"	46.212	132	71	0	220	615	150991	151386	2.1e-40	133	"GCA_009837445.1"
"tauB"	"NODE_4751_length_18006_cov_12.925575"	45.113	133	73	0	217	615	10024	10422	1.27e-41	133	"GCA_028819005.1"
"tauB"	"NODE_746_length_45418_cov_13.4741"	40.69	145	86	0	217	651	24136	23702	2.14e-40	133	"GCA_028824415.1"
"tauB"	"NODE_8_length_407126_cov_66.289849"	44.361	133	74	0	217	615	297978	298376	1.53e-37	133	"GCA_009837475.1"
"tauB"	"NODE_91_length_126179_cov_53.278107"	43.609	133	75	0	217	615	15606	15208	9.09e-41	133	"GCA_009837445.1"
"tauB"	"PBTQ01000069.1"	45.113	133	73	0	217	615	3295	2897	5.6e-37	133	"GCA_002729125.1"
"tauB"	"c_000000530314"	40	145	87	0	217	651	8094	8528	7.59e-40	132	"GCA_026713745.1"
"tauB"	"DBIA01000026.1"	45.113	133	73	0	217	615	6269	6667	1.42e-36	132	"GCA_002296525.1"
"tauB"	"DJZU01000095.1"	44.361	133	74	0	217	615	80330	80728	1.12e-38	132	"GCA_002448715.1"
"tauB"	"NODE_1046_length_52308_cov_7.476949"	39.216	153	93	0	193	651	9830	9372	1.56e-40	132	"GCA_028820455.1"
"tauB"	"NODE_115_length_86775_cov_63.652560"	44.361	133	74	0	217	615	48991	49389	3.57e-37	132	"GCA_009843915.1"
"tauB"	"NODE_1244_length_19590_cov_47.229895"	43.609	133	75	0	217	615	8109	7711	1.96e-36	132	"GCA_009843915.1"
"tauB"	"NODE_186_length_103318_cov_675.894367"	52.427	103	49	0	319	627	99492	99184	1.25e-43	132	"GCA_009840105.1"
"tauB"	"NODE_1881_length_32413_cov_9.872922"	45.455	132	72	0	220	615	12630	13025	3.07e-30	132	"CNA0052371"
"tauB"	"NODE_23_length_321884_cov_20.723"	44.118	136	76	0	208	615	226225	226632	2.82e-39	132	"GCA_028824665.1"
"tauB"	"c_000000039560"	45.455	132	72	0	220	615	4010	3615	8.01e-30	131	"GCA_026710865.1"
"tauB"	"NODE_108_length_119275_cov_52.684306"	45.455	132	72	0	220	615	72911	72516	5.8e-30	131	"GCA_009837445.1"
"tauB"	"NODE_11_length_344000_cov_64.415764"	48.649	111	57	0	325	657	57671	57339	1.88e-44	131	"GCA_009837475.1"
"tauB"	"NODE_124_length_110035_cov_49.802873"	48.673	113	58	0	319	657	109411	109073	7.5e-45	131	"GCA_009837445.1"
"tauB"	"NODE_1544_length_31460_cov_23.607929"	50.459	109	54	0	331	657	14443	14769	6.82e-44	131	"CNA0052333"
"tauB"	"NODE_3164_length_9045_cov_55.829255"	51.376	109	53	0	331	657	4574	4248	2e-44	131	"GCA_009843915.1"
"tauB"	"c_000000185850"	44.361	133	74	0	217	615	550	152	3.26e-44	130	"GCA_026713745.1"
"tauB"	"c_000000544126"	45.113	133	73	0	217	615	7522	7920	1.27e-41	130	"GCA_026713045.1"
"tauB"	"NODE_1417_length_41277_cov_10.304546"	43.609	133	75	0	217	615	541	939	1.51e-29	130	"CNA0052371"
"tauB"	"NODE_181_length_110649_cov_23.5591"	42.857	133	76	0	217	615	8782	8384	1.51e-29	130	"GCA_026706815.1"
"tauB"	"NODE_2167_length_22707_cov_25.748676"	42.105	133	77	0	217	615	13819	14217	8.15e-38	130	"CNA0052333"
"tauB"	"NODE_25_length_327950_cov_151.801436"	42.105	133	77	0	217	615	250516	250118	5.9e-40	130	"SAMN15855452"
"tauB"	"NODE_78_length_135331_cov_49.696103"	48.649	111	57	0	325	657	24992	24660	1.32e-48	130	"GCA_009837445.1"
"tauB"	"NODE_91_length_147642_cov_665.760291"	45.802	131	71	0	223	615	28523	28131	1.13e-40	130	"GCA_009840105.1"
"tauB"	"c_000000053496"	42.105	133	77	0	217	615	6224	5826	3.67e-36	129	"GCA_026710865.1"
"tauB"	"c_000000093668"	43.609	133	75	0	217	615	7029	6631	1.75e-41	129	"GCA_026712705.1"
"tauB"	"c_000000299721"	50.926	108	53	0	334	657	6714	6391	9.54e-44	129	"GCA_026710865.1"
"tauB"	"c_000000585538"	42.105	133	77	0	217	615	21870	22268	5.03e-36	129	"GCA_026713045.1"
"tauB"	"JUEP01000001.1"	43.609	133	75	0	217	615	181723	182121	3.55e-37	129	"GCA_000817105.1"
