Assembly_ID	Repository	Group	Isolation_source	Completeness	Contamination	Genome_size_Mbp	GC	Classification_GTDB	Classification_16S
GCF_000242595.2	NCBI	Non-Sponge	bacterial_bloom_in_the_brine_under_trona_from_alkaline_equatorial_lake	100	0	3.285855	57.8	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__Spirochaeta_B;s__Spirochaeta_B africana	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2
GCA_003641695.1	NCBI	Non-Sponge	Deep_sea_hydrothermal_vent_sediment	92.51	1.34	2.578246	43.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__B11-G9;g__B11-G9;s__B11-G9 sp003641695	No_16S
GCA_003645645.1	NCBI	Non-Sponge	Deep_sea_hydrothermal_vent_sediment	96.55	0	3.982661	43.8	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__B32-G16;g__B32-G16;s__B32-G16 sp003645645	No_16S
GCA_003141795.1	NCBI	Non-Sponge	Permafrost_active_layer_soil	89.74	3.07	5.200069	62.6	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Fen-1364;g__Fen-1364;s__Fen-1364 sp003141795	No_16S
GCF_002087085.1	NCBI	Non-Sponge	Marine_sediments_India	98.85	2.3	4.216685	53	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Marispirochaetaceae;g__Marispirochaeta;s__Marispirochaeta aestuarii	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Candidatus_Marispirochaeta
GCF_001749745.1	NCBI	Non-Sponge	Soil_india	99.93	8.69	5.248051	55.7	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Marispirochaetaceae;g__Marispirochaeta;s__Marispirochaeta associata	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Candidatus_Marispirochaeta;_uncultured_organism_graftm_159
GCA_003559765.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	88.06	1.24	2.093155	55.3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__PWKH01;g__PWKH01;s__PWKH01 sp003559765	No_16S
GCA_007116075.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	90.91	1.52	2.205354	51.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__PWKH01;g__PWKH01;s__PWKH01 sp007116075	No_16S
GCA_007128345.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	94.32	2.27	2.257166	52.3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__PWKH01;g__SKXS01;s__SKXS01 sp007128345	No_16S
GCA_003818675.1	NCBI	Non-Sponge	Prairie_Pothole_Region_wetland_sediments	86.57	5.91	3.085686	48.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__RPPD01;g__RPPD01;s__RPPD01 sp003818675	No_16S
GCF_000507245.1	NCBI	Non-Sponge	Missing-type_strain_of_Salinispira_pacifica	100	0.4	3.782798	51.9	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Salinispiraceae;g__Salinispira;s__Salinispira pacifica	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Salinispira
GCF_000758165.1	NCBI	Non-Sponge	Soil_India_Kutch_Gujarat	99.97	0	3.532909	53.8	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Salinispiraceae;g__Spirochaeta_D;s__Spirochaeta_D lutea	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Salinispira
GCF_000378205.1	NCBI	Non-Sponge	Mud_Hypersaline_mats_Mexico	97.7	0	4.576607	49.2	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Sediminispirochaetaceae;g__Sediminispirochaeta;s__Sediminispirochaeta bajacaliforniensis	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Sediminispirochaeta
GCF_000143985.1	NCBI	Non-Sponge	"Oil_field_of_Congo,_Africa"	96.48	1.15	4.65397	49	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Sediminispirochaetaceae;g__Sediminispirochaeta;s__Sediminispirochaeta smaragdinae	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Sediminispirochaeta
GCA_004525155.1	NCBI	Non-Sponge	Bothnian_Sea_sediment	89.01	1.25	3.176844	52.5	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__SPDA01;g__SPDA01;s__SPDA01 sp004525155	No_16S
GCA_002084805.1	NCBI	Non-Sponge	Deep_sea_hydrothermal_vent_sediment	99.2	1.2	3.287989	43.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae_B;g__Oceanispirochaeta;s__Oceanispirochaeta sp002084805	No_16S
GCF_003346715.1	NCBI	Non-Sponge	Black_sea_water_bulgaria	99.73	3.73	5.884319	42.9	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae_B;g__Oceanispirochaeta;s__Oceanispirochaeta sp003346715	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2
GCF_000426705.1	NCBI	Non-Sponge	Interstitial_water_from_a_cyanobacteria-containing_microbial_mat_Marine_USA	100	3.6	3.949848	37	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae_B;g__Spirochaeta_E;s__Spirochaeta_E cellobiosiphila	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2
GCA_002084135.1	NCBI	Non-Sponge	Lucinid_gill	86.25	0.8	1.945966	50	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae_B;g__UBA2779;s__UBA2779 sp002084135	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2
GCA_003644105.1	NCBI	Non-Sponge	Deep_sea_hydrothermal_vent_sediment	88	1.6	3.324968	48.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae_B;g__UBA2779;s__UBA2779 sp003644105	No_16S
GCF_900608495.1	NCBI	Non-Sponge	shallow_marine_sediment_Mediterranean_Sea	96	3.2	2.12133	47.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae_B;g__UBA2779;s__UBA2779 sp900608495	No_16S
GCA_003245835.1	NCBI	Non-Sponge	marine_hydrothermal_sulfide_sediment_	100	6.32	4.433794	46.6	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__UBA9216;g__UBA9216;s__UBA9216 sp003245835	No_16S
GCF_000184345.1	NCBI	Outgroup	Hotspring	100	0	2.560222	60.9	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_A;f__Spirochaetaceae_A;g__Spirochaeta_A;s__Spirochaeta_A thermophila	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2
GCF_000147075.1	NCBI	Outgroup	Unknown_isolate	100	0	2.472645	61.9	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_A;f__Spirochaetaceae_A;g__Spirochaeta_A;s__Spirochaeta_A thermophila_A	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2
