"Query_sequence_ID"	"Subject_sequence_ID"	"Percent_identity"	"Alignment_length"	"Number_of_mismatches"	"Number_of_gap_openings"	"Start_position_in_query_sequence"	"End_position_in_query_sequence"	"Start_position_in_subject_sequence"	"End_position_in_subject_sequence"	"E-value"	"Bit_score"	"Genome_ID"
"tauB"	"QHVV01000101.1"	41.549	142	83	0	190	615	2872	2447	8.23e-39	123	"GCA_003222385.1"
"tauB"	"DIHE01000106.1"	43.966	116	65	0	310	657	15228	15575	9.41e-50	122	"GCA_002420005.1"
"tauB"	"NODE_67_length_150034_cov_31.909881"	42.857	133	76	0	217	615	52370	51972	5.88e-39	122	"GCA_009837885.1"
"tauB"	"QHVP01000037.1"	41.985	131	76	0	223	615	15332	14940	2.11e-38	122	"GCA_003222295.1"
"tauB"	"QIHU01000169.1"	40	125	75	0	253	627	3274	2900	3.9e-32	122	"GCA_003231035.1"
"tauB"	"NODE_3_length_952301_cov_724.010769"	42.105	133	77	0	217	615	423664	424062	3.45e-37	121	"GCA_026707105.1"
"tauB"	"DIHE01000106.1"	44.348	115	64	0	313	657	14259	14603	9.63e-47	118	"GCA_002420005.1"
"tauB"	"SCRJ01000034.1"	41.935	124	72	0	286	657	20087	20458	5.53e-51	118	"GCA_004298115.1"
"tauC"	"QIHU01000801.1"	33.929	168	111	0	211	714	3740	3237	6.04e-29	118	"GCA_003231035.1"
"tauC"	"SCRJ01000034.1"	31.288	163	112	0	217	705	20709	21197	4.09e-26	118	"GCA_004298115.1"
"tauB"	"NODE_1_length_3875896_cov_1713.578510"	42.105	133	77	0	217	615	225043	225441	3.39e-37	117	"GCA_011525365.1"
"tauB"	"NODE_3_length_588784_cov_58.938121"	42.105	133	77	0	217	615	356611	356213	1.35e-37	117	"GCA_009845425.1"
"tauB"	"NODE_245_length_99005_cov_136.434472"	41.353	133	78	0	217	615	94914	94516	2.58e-37	116	"CNA0052584"
"tauB"	"NODE_3_length_647589_cov_25.228796"	42.105	133	77	0	217	615	467498	467100	2.52e-37	116	"GCA_009836625.1"
"tauB"	"PLZI01000082.1"	40.602	133	79	0	217	615	30106	30504	2.36e-33	115	"GCA_003152095.1"
"tauB"	"QQVD01000063.1"	42.857	133	76	0	217	615	23573	23175	1.71e-36	115	"GCA_003388555.1"
"tauB"	"PLZI01000101.1"	43.966	116	65	0	280	627	11028	11375	1.07e-47	114	"GCA_003152095.1"
"tauB"	"RFGL01000213.1"	40.602	133	79	0	217	615	1789	2187	2.12e-35	112	"GCA_003697015.1"
"tauC"	"DCUZ01000099.1"	33.775	151	100	0	238	690	64111	64563	4.8e-24	111	"GCA_002327305.1"
"tauB"	"DIHE01000119.1"	38.346	133	82	0	217	615	10222	10620	1.72e-36	108	"GCA_002420005.1"
"tauB"	"MEKI01000019.1"	37.903	124	77	0	286	657	18223	17852	1.04e-50	108	"GCA_001766905.1"
"tauB"	"QHVM01000082.1"	39.695	131	79	0	223	615	220770	221162	2.31e-36	107	"GCA_003223555.1"
"tauB"	"PKYI01000029.1"	37.121	132	83	0	220	615	593	988	1.28e-33	106	"GCA_003133645.1"
"tauB"	"QHVS01000381.1"	40.152	132	79	0	220	615	1314	919	4.55e-33	105	"GCA_003223635.1"
"tauB"	"QHVX01000018.1"	39.394	132	80	0	220	615	5180	4785	5.01e-31	105	"GCA_003222375.1"
"tauC"	"QIHU01000169.1"	30.675	163	113	0	202	690	4248	3760	3.16e-23	105	"GCA_003231035.1"
"tauB"	"DIHE01000194.1"	44.828	116	64	0	217	564	16547	16200	1.53e-32	104	"GCA_002420005.1"
"tauB"	"PMLC01000114.1"	37.931	116	72	0	310	657	11785	11438	6.25e-49	104	"GCA_003158745.1"
"tauB"	"QHVM01000093.1"	43.103	116	66	0	217	564	20373	20026	1.12e-32	104	"GCA_003223555.1"
"tauB"	"QQVD01000042.1"	44.828	116	64	0	217	564	45862	46209	9.04e-34	104	"GCA_003388555.1"
"tauB"	"PLZI01000009.1"	40.845	142	84	0	205	630	9273	8848	3.27e-30	103	"GCA_003152095.1"
"tauB"	"QHVJ01000018.1"	42.241	116	67	0	217	564	6578	6231	5.48e-32	102	"GCA_003222275.1"
"tauB"	"QHVJ01000081.1"	40.152	132	79	0	220	615	15433	15828	5.48e-35	102	"GCA_003222275.1"
"tauB"	"QHVM01000087.1"	40.152	132	79	0	220	615	3837	3442	2.08e-35	102	"GCA_003223555.1"
"tauB"	"QHVY01000215.1"	38.636	132	81	0	220	615	7130	6735	8.42e-33	102	"GCA_003223695.1"
"tauB"	"QQVD01000050.1"	42.636	129	74	0	217	603	121915	122301	1.5e-29	102	"GCA_003388555.1"
"tauB"	"RFGL01000103.1"	43.103	116	66	0	217	564	4989	5336	1.58e-32	102	"GCA_003697015.1"
"tauB"	"QHVY01000211.1"	42.149	121	70	0	217	579	8064	7702	2.92e-32	101	"GCA_003223695.1"
"tauB"	"RFGL01000207.1"	41.121	107	63	0	295	615	18850	19170	2.42e-39	101	"GCA_003697015.1"
"tauB"	"PLZI01000010.1"	44.915	118	65	0	223	576	69940	70293	9.11e-31	100	"GCA_003152095.1"
"tauB"	"QHVJ01000171.1"	43.966	116	65	0	217	564	24080	24427	8.31e-33	100	"GCA_003222275.1"
"tauB"	"NODE_2398_length_11420_cov_2657.758645"	39.231	130	79	0	187	576	1935	1546	2.65e-28	99.6	"GCA_026707105.1"
"tauB"	"QHVV01000031.1"	42.5	120	69	0	217	576	6359	6718	6.01e-27	99.6	"GCA_003222385.1"
"tauB"	"DIAY01000260.1"	40.833	120	71	0	217	576	931	1290	2.15e-29	98.7	"GCA_002414905.1"
"tauB"	"PQAJ01000223.1"	43.103	116	66	0	217	564	4113	4460	9.36e-31	98.7	"GCA_003105185.1"
"tauB"	"MEKI01000005.1"	40.625	128	76	0	181	564	28374	27991	4.43e-30	98.2	"GCA_001766905.1"
"tauB"	"QHVM01000085.1"	43.103	116	66	0	217	564	225398	225745	3.49e-31	98.2	"GCA_003223555.1"
"tauB"	"QHVJ01000260.1"	43.103	116	66	0	217	564	16835	17182	2.65e-31	97.7	"GCA_003222275.1"
"tauB"	"QHVS01000003.1"	35.556	135	87	0	220	624	15780	16184	9.24e-31	97.7	"GCA_003223635.1"
"tauB"	"NODE_11_length_383952_cov_907.794765"	40.984	122	72	0	217	582	263903	263538	8e-30	97.3	"GCA_028877275.1"
"tauB"	"NODE_28_length_133929_cov_25.514514"	40.517	116	69	0	217	564	20545	20892	8.11e-30	97.3	"GCA_009836625.1"
"tauB"	"NODE_2_length_1832778_cov_1072.34"	40.517	116	69	0	217	564	156101	156448	2.01e-29	97.3	"SAMN13943208"
"tauB"	"NODE_33_length_183213_cov_15.872351"	40.517	116	69	0	217	564	164229	164576	8.08e-30	97.3	"GCA_009843505.1"
"tauB"	"NODE_57_length_259418_cov_145.910469"	41.379	116	68	0	217	564	126109	126456	1.1e-29	97.3	"CNA0052584"
"tauB"	"NODE_5_length_490712_cov_59.561510"	40.517	116	69	0	217	564	109993	109646	7.98e-30	97.3	"GCA_009845425.1"
"tauB"	"PLZI01000026.1"	39.837	123	74	0	208	576	10015	10383	1.57e-29	97.3	"GCA_003152095.1"
"tauB"	"QHVT01000010.1"	43.103	116	66	0	217	564	118162	117815	1.52e-32	97.3	"GCA_003223645.1"
"tauB"	"NODE_11_length_802795_cov_123.993389"	40.517	116	69	0	217	564	287037	286690	2.03e-29	96.8	"CNA0052490"
"tauB"	"NODE_24_length_551513_cov_124.909565"	40.984	122	72	0	217	582	131457	131092	1.09e-29	96.8	"CNA0052490"
"tauB"	"NODE_571_length_77138_cov_7.910343"	40.517	116	69	0	217	564	56861	57208	6.67e-31	96.8	"CNA0052543"
"tauB"	"NODE_7_length_355065_cov_16.084468"	40.984	122	72	0	217	582	257884	258249	1.1e-29	96.8	"GCA_009843505.1"
"tauB"	"QHVS01000144.1"	40.833	120	71	0	217	576	20069	19710	1.73e-30	96.8	"GCA_003223635.1"
"tauB"	"QHVT01000011.1"	40.517	116	69	0	217	564	101388	101735	3.5e-31	96.8	"GCA_003223645.1"
"tauB"	"NODE_139_length_196615_cov_7.703749"	40.984	122	72	0	217	582	53726	54091	8.11e-30	96.4	"CNA0052543"
"tauB"	"NODE_381_length_46788_cov_193.999"	40.517	116	69	0	217	564	27685	28032	4.9e-31	96.4	"GCA_026708285.1"
"tauB"	"NODE_73_length_222176_cov_132.192332"	40.984	122	72	0	217	582	42056	41691	8.06e-30	96.4	"CNA0052584"
"tauB"	"QHVS01000011.1"	41.071	112	66	0	217	552	4897	4562	2.92e-29	96.4	"GCA_003223635.1"
"tauB"	"QHVV01000112.1"	35.606	132	85	0	220	615	5744	6139	3.55e-31	96.4	"GCA_003222385.1"
"tauB"	"QHVV01000122.1"	39.496	119	72	0	259	615	11	367	2.14e-19	96.4	"GCA_003222385.1"
"tauB"	"QHVX01000192.1"	39.167	120	73	0	217	576	5858	6217	7.56e-29	96.4	"GCA_003222375.1"
"tauB"	"QHVY01000015.1"	36.296	135	86	0	220	624	8457	8861	4.46e-30	96.4	"GCA_003223695.1"
"tauB"	"SCRJ01000140.1"	43.966	116	65	0	217	564	56130	55783	6.62e-31	96.4	"GCA_004298115.1"
"tauB"	"DCUZ01000068.1"	42.241	116	67	0	217	564	40130	40477	3.57e-31	95.9	"GCA_002327305.1"
"tauB"	"NODE_1_length_3875896_cov_1713.578510"	39.655	116	70	0	217	564	3457502	3457155	2.72e-29	95.9	"GCA_011525365.1"
"tauB"	"NODE_2_length_1020148_cov_709.133971"	41.379	116	68	0	217	564	119495	119842	2.02e-29	95.9	"GCA_026707105.1"
"tauB"	"PQAJ01000287.1"	40.517	116	69	0	217	564	18926	18579	3.22e-27	95.9	"GCA_003105185.1"
"tauB"	"QQVD01000053.1"	34.586	133	87	0	217	615	44061	44459	2.94e-19	95.9	"GCA_003388555.1"
"tauB"	"MEKI01000015.1"	34.091	132	87	0	220	615	8988	9383	2.63e-28	95.5	"GCA_001766905.1"
"tauB"	"NODE_12_length_352484_cov_744.243530"	39.655	116	70	0	217	564	178396	178743	5.57e-30	95.5	"GCA_026707105.1"
"tauB"	"NODE_5_length_505195_cov_340.556"	40.517	116	69	0	217	564	172945	173292	1.21e-30	95.5	"GCA_026707545.1"
"tauB"	"NODE_6_length_593889_cov_127.859361"	39.837	123	74	0	208	576	379237	379605	3.42e-28	95.5	"CNA0052584"
"tauB"	"QHVJ01000478.1"	41.525	118	69	0	217	570	1560	1207	3.67e-28	95.5	"GCA_003222275.1"
"tauB"	"QHVX01000186.1"	35.556	135	87	0	220	624	9203	9607	1.57e-29	95.5	"GCA_003222375.1"
"tauB"	"MEKI01000083.1"	39.655	116	70	0	217	564	14526	14873	6.73e-28	95	"GCA_001766905.1"
"tauB"	"NODE_166_length_166439_cov_878.777629"	39.655	116	70	0	217	564	147806	148153	3.88e-29	95	"GCA_028877275.1"
"tauB"	"NODE_38_length_199707_cov_32.706274"	39.655	116	70	0	217	564	179339	179686	3.87e-29	95	"GCA_009837885.1"
"tauB"	"NODE_42_length_314416_cov_20.617208"	39.655	116	70	0	217	564	157254	157601	5.26e-29	95	"CNA0052611"
"tauB"	"QIHU01000334.1"	38.333	120	74	0	217	576	884	1243	2.4e-30	95	"GCA_003231035.1"
"tauB"	"QQVD01000042.1"	41.284	109	64	0	289	615	24052	23726	5.92e-33	95	"GCA_003388555.1"
"tauB"	"RFGL01000148.1"	41.379	116	68	0	217	564	28356	28009	6.03e-30	95	"GCA_003697015.1"
"tauB"	"NODE_1_length_1427113_cov_24.092931"	41.379	116	68	0	217	564	59021	59368	3.77e-29	94.5	"GCA_009836625.1"
"tauB"	"NODE_1_length_3060629_cov_323.518"	41.379	116	68	0	217	564	1630074	1629727	1.79e-28	94.5	"GCA_026707545.1"
"tauB"	"NODE_1_length_3875896_cov_1713.578510"	41.379	116	68	0	217	564	2294402	2294055	1.06e-29	94.5	"GCA_011525365.1"
"tauB"	"NODE_1_length_607317_cov_30.187069"	41.379	116	68	0	217	564	290540	290887	1.09e-29	94.5	"GCA_009837885.1"
"tauB"	"NODE_1_length_795955_cov_15.419050"	41.379	116	68	0	217	564	291303	290956	1.08e-29	94.5	"GCA_009843505.1"
"tauB"	"NODE_2_length_1577929_cov_17.872363"	41.379	116	68	0	217	564	532410	532063	1.08e-29	94.5	"CNA0052611"
"tauB"	"NODE_2_length_1832778_cov_1072.34"	41.379	116	68	0	217	564	1346745	1347092	3.06e-30	94.5	"SAMN13943208"
"tauB"	"NODE_2_length_799895_cov_862.419735"	41.379	116	68	0	217	564	616739	617086	1.09e-29	94.5	"GCA_028877275.1"
"tauB"	"NODE_381_length_119065_cov_123.732476"	41.379	116	68	0	217	564	111575	111922	1.53e-29	94.5	"CNA0052490"
"tauB"	"NODE_42_length_197315_cov_56.598976"	41.379	116	68	0	217	564	8899	9246	1.51e-29	94.5	"GCA_009845425.1"
"tauB"	"NODE_811_length_20233_cov_170.609"	41.379	116	68	0	217	564	5017	4670	1.56e-29	94.5	"GCA_026708285.1"
"tauB"	"PMLC01000115.1"	41.379	116	68	0	217	564	1967	2314	6.13e-30	94.5	"GCA_003158745.1"
"tauB"	"NCBR01000006.1"	33.333	132	88	0	220	615	15909	16304	2.9e-29	94.1	"GCA_002279285.1"
"tauB"	"NODE_14_length_581118_cov_7.460494"	41.379	116	68	0	217	564	205849	205502	2.05e-29	94.1	"CNA0052543"
"tauB"	"NODE_361_length_77828_cov_116.283967"	41.379	116	68	0	217	564	53898	53551	2.1e-29	94.1	"CNA0052584"
"tauB"	"PKYI01000200.1"	42.241	116	67	0	217	564	55327	54980	4.39e-30	94.1	"GCA_003133645.1"
"tauB"	"SCRJ01000015.1"	38.793	116	71	0	217	564	4290	4637	3.98e-26	94.1	"GCA_004298115.1"
"tauB"	"PMLC01000102.1"	33.333	132	88	0	220	615	20151	19756	9.13e-28	93.6	"GCA_003158745.1"
"tauB"	"SCRJ01000166.1"	34.091	132	87	0	220	615	12182	12577	9.19e-28	93.6	"GCA_004298115.1"
"tauB"	"DIAY01000065.1"	45.536	112	61	0	217	552	13207	13542	7.36e-26	92.7	"GCA_002414905.1"
"tauB"	"QHVV01000047.1"	37.5	120	75	0	217	576	43771	43412	6.03e-30	92.3	"GCA_003222385.1"
"tauB"	"QQVD01000050.1"	37.931	116	72	0	217	564	86062	85715	3.1e-27	92.3	"GCA_003388555.1"
"tauB"	"QHVP01000096.1"	43.137	102	58	0	217	522	1669	1364	2.07e-24	91.3	"GCA_003222295.1"
"tauB"	"QHVS01000067.1"	35.606	132	85	0	220	615	8222	7827	1.27e-30	91.3	"GCA_003223635.1"
"tauB"	"QHVV01000009.1"	35.338	133	86	0	217	615	12476	12078	7.45e-29	91.3	"GCA_003222385.1"
"tauB"	"QHVX01000180.1"	37.5	112	70	0	217	552	2356	2021	4.03e-29	91.3	"GCA_003222375.1"
"tauB"	"NODE_1_length_3060629_cov_323.518"	40.833	120	71	0	217	576	680384	680743	5.63e-26	90.9	"GCA_026707545.1"
"tauB"	"QHVT01000004.1"	38.793	116	71	0	217	564	71957	71610	1.65e-27	90.9	"GCA_003223645.1"
"tauB"	"QHVY01000210.1"	40	105	63	0	217	531	4872	5186	2.35e-27	90.9	"GCA_003223695.1"
"tauB"	"NCBR01000198.1"	44.118	102	57	0	217	522	1314	1619	1.32e-17	90.4	"GCA_002279285.1"
"tauB"	"NODE_364_length_49171_cov_176.181"	40.833	120	71	0	217	576	25072	24713	4.76e-25	90.4	"GCA_026708285.1"
"tauB"	"NCBR01000362.1"	42.982	114	65	0	211	552	1071	730	7.66e-26	90	"GCA_002279285.1"
"tauB"	"PKYI01000081.1"	42.982	114	65	0	211	552	24882	25223	2.1e-26	90	"GCA_003133645.1"
"tauB"	"PQAJ01000068.1"	39.655	116	70	0	217	564	10646	10993	1.01e-25	90	"GCA_003105185.1"
"tauB"	"QHVV01000193.1"	43.81	105	59	0	217	531	2723	2409	1.83e-17	90	"GCA_003222385.1"
"tauB"	"QHVX01000035.1"	40.517	116	69	0	217	564	5879	5532	6.01e-27	90	"GCA_003222375.1"
"tauB"	"NCBR01000013.1"	37.931	116	72	0	217	564	8494	8841	3.55e-25	89.5	"GCA_002279285.1"
"tauB"	"QHVM01000082.1"	42.982	114	65	0	211	552	234200	234541	1.69e-26	89.5	"GCA_003223555.1"
"tauB"	"SCRJ01000128.1"	43.137	102	58	0	217	522	14962	14657	2.51e-17	89.5	"GCA_004298115.1"
"tauB"	"NODE_10_length_582429_cov_1139.43"	42.056	107	62	0	211	531	175283	174963	1.9e-28	89	"SAMN13943208"
"tauB"	"NODE_7_length_355065_cov_16.084468"	42.056	107	62	0	211	531	121528	121208	5.17e-26	89	"GCA_009843505.1"
"tauB"	"NODE_7_length_457213_cov_55.439362"	39.167	120	73	0	217	576	392815	393174	5.15e-26	89	"GCA_009845425.1"
"tauB"	"PLZI01000051.1"	39.655	116	70	0	217	564	13570	13917	1.39e-25	89	"GCA_003152095.1"
"tauB"	"QIHU01000360.1"	39.831	118	71	0	217	570	3337	2984	2.12e-26	89	"GCA_003231035.1"
"tauB"	"NODE_14_length_317239_cov_33.211105"	42.056	107	62	0	211	531	180559	180239	7.12e-26	88.6	"GCA_009837885.1"
"tauB"	"QHVV01000029.1"	34.815	135	88	0	220	624	20945	20541	1.26e-27	88.6	"GCA_003222385.1"
"tauB"	"QHVY01000066.1"	40.517	116	69	0	217	564	1418	1765	1.57e-26	88.6	"GCA_003223695.1"
"tauB"	"DCUZ01000002.1"	37.815	119	74	0	259	615	48783	49139	2.55e-25	88.1	"GCA_002327305.1"
"tauB"	"PKYI01000015.1"	37.931	116	72	0	217	564	6065	6412	5.91e-24	88.1	"GCA_003133645.1"
"tauB"	"QHVT01000005.1"	39.13	115	70	0	217	561	143089	142745	6.69e-25	88.1	"GCA_003223645.1"
"tauB"	"QQVD01000055.1"	40.517	116	69	0	217	564	37154	36807	6.51e-17	88.1	"GCA_003388555.1"
"tauB"	"NODE_133_length_199712_cov_7.611874"	42.056	107	62	0	211	531	108664	108984	1.33e-25	87.7	"CNA0052543"
"tauB"	"PQAJ01000101.1"	39.286	112	68	0	178	513	55410	55745	6.6e-28	87.7	"GCA_003105185.1"
"tauB"	"DIHE01000160.1"	38.136	118	73	0	217	570	133059	133412	3.07e-24	87.2	"GCA_002420005.1"
"tauB"	"NODE_1_length_1032830_cov_741.819374"	42.056	107	62	0	211	531	486199	486519	5.55e-27	87.2	"GCA_026707105.1"
"tauB"	"NODE_1_length_3060629_cov_323.518"	42.056	107	62	0	211	531	2853133	2852813	1.75e-25	87.2	"GCA_026707545.1"
"tauB"	"NODE_24_length_551513_cov_124.909565"	42.056	107	62	0	211	531	285731	286051	1.8e-25	87.2	"CNA0052490"
"tauB"	"NODE_2556_length_5884_cov_195.706"	42.056	107	62	0	211	531	5230	4910	1.93e-25	87.2	"GCA_026708285.1"
"tauB"	"NODE_3_length_588784_cov_58.938121"	42.056	107	62	0	211	531	162281	161961	1.54e-26	87.2	"GCA_009845425.1"
"tauB"	"NODE_3_length_647589_cov_25.228796"	42.056	107	62	0	211	531	266633	266313	1.79e-25	87.2	"GCA_009836625.1"
"tauB"	"QHVT01000009.1"	39.655	116	70	0	217	564	165131	164784	1.83e-25	87.2	"GCA_003223645.1"
"tauB"	"SCRJ01000047.1"	37.815	119	74	0	208	564	5288	5644	1.53e-26	87.2	"GCA_004298115.1"
"tauB"	"SCRJ01000085.1"	44.231	104	58	0	211	522	76826	77137	9.93e-26	87.2	"GCA_004298115.1"
"tauB"	"DIAY01000284.1"	39.655	116	70	0	217	564	24853	25200	1.66e-24	86.8	"GCA_002414905.1"
"tauB"	"DIHE01000185.1"	39.252	107	65	0	211	531	33291	33611	1.23e-24	86.8	"GCA_002420005.1"
"tauB"	"NODE_360_length_45268_cov_13.724216"	38.333	120	74	0	217	576	4117	4476	2.56e-25	86.8	"GCA_009843505.1"
"tauB"	"NODE_3_length_952301_cov_724.010769"	40	120	72	0	217	576	860883	861242	2.19e-24	86.8	"GCA_026707105.1"
"tauB"	"PMLC01000067.1"	37.069	116	73	0	217	564	37023	36676	2.78e-23	86.8	"GCA_003158745.1"
"tauB"	"QHVT01000008.1"	44.118	102	57	0	217	522	56871	56566	1.13e-24	86.8	"GCA_003223645.1"
"tauB"	"NODE_152_length_188628_cov_7.633839"	39.167	120	73	0	217	576	103269	103628	2.51e-25	86.3	"CNA0052543"
"tauB"	"NODE_8_length_871879_cov_111.639604"	39.655	116	70	0	217	564	487901	487554	2.98e-24	86.3	"CNA0052490"
"tauB"	"NODE_1_length_3875896_cov_1713.578510"	41.121	107	63	0	211	531	427404	427724	5.73e-27	85.8	"GCA_011525365.1"
"tauB"	"NODE_69_length_145239_cov_29.122321"	38.333	120	74	0	217	576	57138	57497	2.52e-25	85.8	"GCA_009837885.1"
"tauB"	"PMLC01000043.1"	40.196	102	61	0	217	522	17514	17819	3.18e-16	85.8	"GCA_003158745.1"
"tauB"	"QHVJ01000007.1"	44.231	104	58	0	211	522	9417	9728	5.97e-24	85.8	"GCA_003222275.1"
"tauB"	"NODE_33_length_248917_cov_1021.55"	38.333	120	74	0	217	576	229465	229106	5.68e-24	85.4	"SAMN13943208"
"tauB"	"PKYI01000190.1"	43.137	102	58	0	217	522	24035	24340	4.38e-16	85.4	"GCA_003133645.1"
"tauB"	"PQAJ01000108.1"	44.231	104	58	0	211	522	7814	8125	2.56e-25	85.4	"GCA_003105185.1"
"tauB"	"QHVJ01000055.1"	37.931	116	72	0	217	564	2456	2803	4.35e-16	85.4	"GCA_003222275.1"
"tauB"	"QHVS01000147.1"	37.931	116	72	0	217	564	25160	24813	6.01e-27	85.4	"GCA_003223635.1"
"tauB"	"QHVX01000196.1"	38.333	120	74	0	217	576	2876	2517	1.41e-25	85.4	"GCA_003222375.1"
