Assembly_ID	Repository	Group	Isolation_source	Completeness	Contamination	Genome_size_Mbp	GC	Classification_GTDB	Classification_16S
GCF_000812185.1	NCBI	Non-Sponge	Seawater	99.51	0	1.232128	33.2	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus brevis	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopelagicus
GCA_000402075.1	NCBI	Non-Sponge	Seawater	97.33	2.09	1.104438	35.7	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp000402075	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_uncultured_archaeon_graftm_8
GCA_001627235.1	NCBI	Non-Sponge	Seawater Red Sea	92.64	1.05	1.009131	34.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp001627235	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopelagicus
GCA_007036525.1	NCBI	Non-Sponge	Seawater Izu-Bonin Trench	88.11	0	0.94932	35.2	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp007036525	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae
GCA_007037745.1	NCBI	Non-Sponge	Seawater Izu-Bonin Trench	90.37	0	1.075201	35.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus sp007037745	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_uncultured_archaeon_graftm_8
GCF_000956175.1	NCBI	Non-Sponge	Seawater Slovenia	100	0	1.80309	33.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus adriaticus	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus
GCF_002156965.1	NCBI	Non-Sponge	Seawater California	100	0	1.360076	31.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus catalinensis	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae
GCA_000299365.1	NCBI	Non-Sponge	Marine sediment	94.66	0	1.639964	34.2	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus koreensis	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus;_uncultured_archaeon_graftm_56
GCA_000018465.1	NCBI	Non-Sponge	Unknown	100	0.97	1.645259	34.2	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus maritimus	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus
GCA_000875775.1	NCBI	Non-Sponge	Seawater Slovenia	100	0.97	1.713078	33.8	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus piranensis	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus
GCF_000242875.2	NCBI	Non-Sponge	Sediment San Fran Bay estuary	92.39	1.94	1.572957	33.8	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus salaria	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae
GCF_000299395.1	NCBI	Non-Sponge	Sediment Arctic circle	97.09	0	1.690905	33.6	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sediminis	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus;_uncultured_archaeon_graftm_56
GCA_000746765.1	NCBI	Non-Sponge	Red Sea	86.89	0.97	1.360636	34.3	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp000746765	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus
GCA_001437625.1	NCBI	Non-Sponge	Seawater Baltic Sea	99.51	0.97	1.270387	31	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp001437625	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus
GCA_001510275.1	NCBI	Non-Sponge	Seawater Caspian sea	94.17	0	1.221161	32.8	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp001510275	Archaea
GCA_002317795.1	NCBI	Non-Sponge	Seawater	93.85	0.97	1.906738	31.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002317795	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus;_uncultured_archaeon_graftm_56
GCA_003331425.1	NCBI	Non-Sponge	Seawater	100	0	1.235315	31.2	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002690535	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae
GCA_002730325.1	NCBI	Non-Sponge	Seawater	88.83	2.43	1.131154	31.7	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002730325	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus
GCA_002737455.1	NCBI	Non-Sponge	Lake Baikal	99.03	0	1.139986	30.3	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002737455	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus;_uncultured_thaumarchaeote
GCF_003175215.1	NCBI	Non-Sponge	eelgrass sediment Japan	100	0	1.757809	33.8	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp003175215	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae
GCA_003702465.1	NCBI	Non-Sponge	Seawater Gulf of Mexico	93.2	0	1.127829	30.9	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp003702465	No_16S
GCA_003702495.1	NCBI	Non-Sponge	Seawater Gulf of Mexico	95	1.94	1.266765	34.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp003702495	No_16S
GCA_003702525.1	NCBI	Non-Sponge	Seawater Gulf of Mexico	92.72	2.91	1.279624	34.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp003702525	No_16S
GCA_003702545.1	NCBI	Non-Sponge	Seawater Gulf of Mexico	91.26	0.97	1.224048	34.9	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp003702545	No_16S
GCF_006740685.1	NCBI	Non-Sponge	Seawater South Korea	100	0.97	1.49962	33.8	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp006740685	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosopumilus
GCF_900167955.1	NCBI	Non-Sponge	soil wetland fen	97.57	1.94	1.553159	36	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__Nitrosotalea bavarica	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosotaleales;_Nitrosotaleaceae;_Candidatus_Nitrosotalea
GCA_900065925.1	NCBI	Non-Sponge	Soil	98.54	0	1.805304	37.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__Nitrosotalea devanaterra	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosotaleales;_Nitrosotaleaceae;_Candidatus_Nitrosotalea
GCA_900177045.1	NCBI	Non-Sponge	Wetland Soil	99.51	0	1.972585	37.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__Nitrosotalea okcheonensis	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosotaleales;_Nitrosotaleaceae;_Candidatus_Nitrosotalea
GCF_900143675.1	NCBI	Non-Sponge	soil wetland fen	99.51	0.97	1.598048	37.4	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__Nitrosotalea sinensis	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosotaleales;_Nitrosotaleaceae;_Candidatus_Nitrosotalea
GCA_005877205.1	NCBI	Non-Sponge	Soil Angelo Coast USA	97.5	0	1.562348	38.7	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__Nitrosotalea sp005877205	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosotaleales;_Nitrosotaleaceae
GCF_002787055.1	NCBI	Non-Sponge	freshwater aquarium biofilter Canada	99.68	1.94	1.697207	42.2	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis aquarius	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosotenuis
GCF_000685395.1	NCBI	Non-Sponge	Soil South Korea	99.03	0.97	1.762971	41.8	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis chungbukensis	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosotenuis;_uncultured_archaeon_graftm_149
GCF_000955905.1	NCBI	Non-Sponge	wastewater treatment plant Beijing	100	1.94	1.620156	41	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis cloacae	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosotenuis
GCF_000723185.1	NCBI	Non-Sponge	"terrestrial geothermal hot spring, Uzon Caldera"	100	0.97	1.636125	42.2	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp000723185	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosopumilales;_Nitrosopumilaceae;_Candidatus_Nitrosotenuis
GCA_004322465.1	NCBI	Non-Sponge	Groundwater Tennessee	91.76	2.91	1.681024	42.6	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__Nitrosotenuis sp004322465	No_16S
GCA_005877305.1	NCBI	Non-Sponge	Soil Angelo Coast USA	92.64	1.94	1.329581	35.7	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__TA-20;s__TA-20 sp005877305	No_16S
GCA_007280335.1	NCBI	Non-Sponge	Freshwater Powell Lake British Columbia	94.17	0	1.296374	35.5	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__TA-20;s__TA-20 sp007280335	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosotaleales;_Nitrosotaleaceae
GCA_900248165.1	NCBI	Outgroup	Hotspring_Italy	99.03	0	1.577284	41.6	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosocaldus;s__Nitrosocaldus cavascurensis	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosocaldales;_Nitrosocaldaceae;_Candidatus_Nitrosocaldus
GCA_002898655.1	NCBI	Outgroup	Ammonia-oxidizing_enrichment_culture	76.5	0.32	1.208457	41.8	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosocaldus;s__Nitrosocaldus sp002898655	Archaea;_Thaumarchaeota;_Nitrososphaeria;_Nitrosocaldales;_Nitrosocaldaceae;_Candidatus_Nitrosocaldus
