"Query_sequence_ID"	"Subject_sequence_ID"	"Percent_identity"	"Alignment_length"	"Number_of_mismatches"	"Number_of_gap_openings"	"Start_position_in_query_sequence"	"End_position_in_query_sequence"	"Start_position_in_subject_sequence"	"End_position_in_subject_sequence"	"E-value"	"Bit_score"	"Genome_ID"
"tauB"	"NZ_JNUP01000049.1"	50	142	71	0	220	645	24294	23869	1.02e-55	173	"GCF_000758165.1"
"tauB"	"NZ_KB891691.1"	43.158	190	108	0	46	615	21052	21621	1.66e-42	173	"GCF_000373545.1"
"tauB"	"SLAA01000108.1"	52.593	135	64	0	217	621	3540	3944	1.22e-50	168	"GCA_007127105.1"
"tauB"	"NZ_FTMS01000009.1"	42.105	190	110	0	46	615	132146	131577	5.04e-40	165	"GCF_900156105.1"
"tauB"	"SLBH01000253.1"	52.941	136	64	0	220	627	1871	1464	2.08e-49	163	"GCA_007126415.1"
"tauB"	"QKCC01000133.1"	47.445	137	72	0	217	627	3029	2619	2.82e-49	159	"GCA_003245835.1"
"tauB"	"QKCC01000245.1"	41.071	168	99	0	43	546	5540	6043	2.2e-40	155	"GCA_003245835.1"
"tauB"	"NZ_KE384554.1"	33.654	208	138	0	4	627	391116	391739	2.66e-36	153	"GCF_000426705.1"
"tauC"	"NZ_MWQY01000006.1"	38.182	165	102	0	226	720	43629	44123	2.93e-36	153	"GCF_002087085.1"
"tauC"	"NZ_KB899426.1"	37.278	169	106	0	214	720	54845	54339	1.04e-35	151	"GCF_000378205.1"
"tauB"	"c_000000088619"	48.485	132	68	0	220	615	26752	27147	3.39e-35	149	"GCA_026710565.1"
"tauB"	"PLNO01000221.1"	42.177	147	85	0	217	657	8038	7598	5.43e-46	149	"GCA_003141795.1"
"tauB"	"SLST01000198.1"	50	132	66	0	211	606	9730	10125	2.47e-35	149	"GCA_007130265.1"
"tauC"	"NC_014364.1"	36.686	169	107	0	214	720	3995843	3995337	5.11e-35	149	"GCF_000143985.1"
"tauB"	"NODE_2290_length_35603_cov_12.117025"	47.727	132	69	0	220	615	7702	7307	6.39e-35	148	"GCA_028818385.1"
"tauB"	"c_000000166362"	48.485	132	68	0	220	615	79426	79821	7.35e-42	147	"GCA_026712845.1"
"tauB"	"NODE_1544_length_30693_cov_8.931229"	46.97	132	70	0	220	615	10172	9777	1.21e-34	147	"CNA0052603"
"tauB"	"SKQU01000071.1"	50.388	129	64	0	220	606	8466	8852	1.66e-34	147	"GCA_007118855.1"
"tauB"	"NZ_FTMS01000011.1"	47.436	156	82	0	148	615	64904	64437	9.36e-39	146	"GCF_900156105.1"
"tauB"	"NZ_KB891760.1"	51.128	133	65	0	217	615	65881	65483	3e-41	146	"GCF_000373545.1"
"tauB"	"SKJE01000054.1"	50.388	129	64	0	220	606	21727	21341	2.28e-34	146	"GCA_007116075.1"
"tauB"	"DCBS01000146.1"	48.062	129	67	0	220	606	6779	6393	1.53e-33	144	"GCA_002313505.1"
"tauB"	"MUIB01000136.1"	48.12	133	69	0	217	615	10388	10786	1.52e-33	144	"GCA_002084135.1"
"tauB"	"NZ_QQPQ01000025.1"	50.388	129	64	0	220	606	14775	15161	8.11e-34	144	"GCF_003346715.1"
"tauB"	"SKZO01000157.1"	48.837	129	66	0	220	606	986	600	1.11e-33	144	"GCA_007127335.1"
"tauC"	"NZ_FTMS01000009.1"	39.394	165	100	0	226	720	132823	132329	1.94e-35	144	"GCF_900156105.1"
"tauB"	"NODE_444_length_103008_cov_104.732023"	46.97	132	70	0	220	615	91961	91566	2.88e-33	143	"GCA_028821475.1"
"tauB"	"NZ_KE384555.1"	49.612	129	65	0	220	606	189219	189605	2.1e-33	143	"GCF_000426705.1"
"tauB"	"QKCC01000061.1"	46.617	133	71	0	217	615	10147	9749	2.1e-33	143	"GCA_003245835.1"
"tauB"	"SLRR01000169.1"	48.837	129	66	0	220	606	3754	3368	2.22e-40	143	"GCA_007130865.1"
"tauB"	"NC_023035.1"	48.837	129	66	0	220	606	3698232	3697846	5.43e-33	142	"GCF_000507245.1"
"tauB"	"NODE_1787_length_34076_cov_3.978513"	46.97	132	70	0	220	615	10093	9698	3.97e-33	142	"CNA0052444"
"tauB"	"NODE_4151_length_14422_cov_4.552029"	46.97	132	70	0	220	615	7366	6971	5.46e-33	142	"CNA0052564"
"tauB"	"NZ_KB899411.1"	48.485	132	68	0	220	615	144503	144108	3.12e-37	142	"GCF_000378205.1"
"tauB"	"NC_017098.1"	48.872	133	68	0	217	615	1339432	1339830	9.59e-41	141	"GCF_000242595.2"
"tauB"	"NC_014364.1"	48.485	132	68	0	220	615	944052	944447	1.69e-39	140	"GCF_000143985.1"
"tauB"	"NZ_JNUP01000049.1"	38.509	161	99	0	166	648	13556	13074	1.93e-32	140	"GCF_000758165.1"
"tauB"	"PXEI01000219.1"	47.368	133	70	0	217	615	159	557	1.41e-32	140	"GCA_003564775.1"
"tauB"	"PXEI01000437.1"	47.368	133	70	0	217	615	5922	5524	1.41e-32	140	"GCA_003564775.1"
"tauB"	"SLBH01000213.1"	47.727	132	69	0	220	615	15020	15415	3.65e-32	139	"GCA_007126415.1"
"tauC"	"NZ_MWQY01000011.1"	35.625	160	103	0	226	705	51228	50749	2.39e-34	139	"GCF_002087085.1"
"tauB"	"NBMC01000066.1"	45.113	133	73	0	217	615	13724	14122	1.45e-39	138	"GCA_002084805.1"
"tauB"	"NODE_1492_length_38934_cov_6.537051"	42.763	152	87	0	217	672	24165	23710	1.25e-44	138	"CNA0052444"
"tauB"	"NODE_2317_length_34815_cov_110.156530"	43.421	152	86	0	217	672	11354	11809	1.25e-44	138	"GCA_028821475.1"
"tauB"	"NZ_MWQY01000007.1"	48.062	129	67	0	220	606	199038	199424	9.69e-40	138	"GCF_002087085.1"
"tauB"	"SLIN01000216.1"	46.324	136	73	0	211	618	1351	1758	2.19e-43	138	"GCA_007135605.1"
"tauB"	"SLRR01000187.1"	46.97	132	70	0	220	615	1940	1545	1.07e-39	138	"GCA_007130865.1"
"tauB"	"SLTF01000463.1"	46.212	132	71	0	220	615	3030	2635	9.51e-32	138	"GCA_007130025.1"
"tauC"	"NBMC01000060.1"	34.194	155	102	0	226	690	28047	27583	5.53e-32	138	"GCA_002084805.1"
"tauC"	"NZ_KB891691.1"	38.182	165	102	0	226	720	20375	20869	4.44e-34	138	"GCF_000373545.1"
"tauB"	"NZ_JWTM01000541.1"	48.062	129	67	0	220	606	204113	203727	1.78e-39	137	"GCF_001749745.1"
"tauB"	"NZ_JWTM01000553.1"	40.667	150	89	0	166	615	74107	74556	2.58e-45	137	"GCF_001749745.1"
"tauB"	"NZ_QQPQ01000003.1"	44.361	133	74	0	217	615	19670	20068	6.81e-39	137	"GCF_003346715.1"
"tauB"	"NZ_KE384554.1"	44.361	133	74	0	217	615	692682	692284	3.14e-38	136	"GCF_000426705.1"
"tauB"	"PUPD01000220.1"	45.113	133	73	0	217	615	4575	4973	1.83e-32	136	"GCA_003552985.1"
"tauB"	"SPDA01000370.1"	41.549	142	83	0	223	648	2324	2749	2.94e-46	136	"GCA_004525155.1"
"tauB"	"NBMC01000066.1"	44.361	133	74	0	217	615	9590	9988	3.37e-38	135	"GCA_002084805.1"
"tauB"	"NZ_JWTM01000101.1"	44.361	133	74	0	217	615	397488	397090	4.97e-36	135	"GCF_001749745.1"
"tauB"	"NZ_KB899411.1"	44.275	131	73	0	217	609	47096	47488	2.84e-46	135	"GCF_000378205.1"
"tauB"	"NZ_MWQY01000001.1"	44.361	133	74	0	217	615	236490	236092	3.2e-31	135	"GCF_002087085.1"
"tauB"	"SLTF01000129.1"	47.727	132	69	0	220	615	5254	4859	1.71e-47	135	"GCA_007130025.1"
"tauC"	"NZ_QQPQ01000072.1"	32.5	160	108	0	226	705	5207	5686	5.11e-31	135	"GCF_003346715.1"
"tauB"	"NZ_JNUP01000072.1"	45.865	133	72	0	217	615	197463	197065	1.21e-30	134	"GCF_000758165.1"
"tauB"	"SLTF01000163.1"	45.865	133	72	0	217	615	14967	15365	1.19e-31	134	"GCA_007130025.1"
"tauC"	"PLNO01000038.1"	37.037	162	102	0	205	690	6478	6963	1.32e-30	134	"GCA_003141795.1"
"tauB"	"DCBS01000208.1"	44.697	132	73	0	220	615	19124	18729	1.65e-30	133	"GCA_002313505.1"
"tauB"	"QNBL01000031.1"	47.727	132	69	0	220	615	7803	8198	4.06e-43	133	"GCA_003641695.1"
"tauB"	"SLIN01000351.1"	45.455	132	72	0	220	615	7431	7826	2.28e-30	133	"GCA_007135605.1"
"tauB"	"SKJE01000024.1"	41.096	146	86	0	223	660	2692	2255	1.03e-42	132	"GCA_007116075.1"
"tauB"	"SKXQ01000072.1"	45.455	132	72	0	220	615	20096	20491	4.3e-30	132	"GCA_007128315.1"
"tauB"	"NZ_JNUP01000065.1"	48.031	127	66	0	229	609	292284	291904	5.53e-37	131	"GCF_000758165.1"
"tauB"	"SKKC01000212.1"	44.697	132	73	0	220	615	17592	17987	1.11e-29	131	"GCA_007121695.1"
"tauB"	"QNBH01000027.1"	46.97	132	70	0	220	615	20478	20083	2.15e-43	129	"GCA_003645645.1"
"tauB"	"PXEI01000122.1"	49.558	113	57	0	319	657	2311	2649	1.88e-48	128	"GCA_003564775.1"
"tauB"	"QNBH01000278.1"	43.609	133	75	0	217	615	2451	2053	2.71e-42	128	"GCA_003645645.1"
"tauB"	"SLAA01000257.1"	49.558	113	57	0	319	657	2843	3181	2.85e-49	128	"GCA_007127105.1"
"tauB"	"SLTF01000364.1"	50.45	111	55	0	325	657	10266	9934	3.18e-47	128	"GCA_007130025.1"
"tauC"	"NC_017098.1"	38.065	155	96	0	235	699	2112275	2112739	5.96e-29	128	"GCF_000242595.2"
"tauB"	"c_000000345816"	51.485	101	49	0	325	627	22577	22879	2.28e-47	127	"GCA_026712845.1"
"tauB"	"NODE_3040_length_21254_cov_4.716543"	51.485	101	49	0	325	627	12410	12712	1.69e-47	127	"CNA0052444"
"tauB"	"NODE_666_length_83989_cov_114.465485"	51.485	101	49	0	325	627	41250	40948	8.94e-48	127	"GCA_028821475.1"
"tauB"	"NZ_KB899406.1"	43.939	132	74	0	220	615	135393	135788	4.35e-44	127	"GCF_000378205.1"
"tauB"	"PWQX01000016.1"	45.865	133	72	0	217	615	5967	5569	1.04e-42	127	"GCA_003556605.1"
"tauB"	"QKCC01000040.1"	47.328	131	69	0	223	615	6924	6532	1.78e-41	127	"GCA_003245835.1"
"tauB"	"QNBH01000158.1"	45.113	133	73	0	217	615	1877	2275	1.78e-41	127	"GCA_003645645.1"
"tauC"	"NZ_QQPQ01000012.1"	35.185	162	105	0	214	699	50469	50954	2.13e-28	127	"GCF_003346715.1"
"tauB"	"NC_014364.1"	43.939	132	74	0	220	615	3800217	3799822	1.5e-43	126	"GCF_000143985.1"
"tauB"	"SKJE01000159.1"	39.85	133	80	0	217	615	735	1133	3.37e-38	126	"GCA_007116075.1"
"tauC"	"DCBS01000088.1"	33.766	154	102	0	235	696	864	403	4.03e-28	126	"GCA_002313505.1"
"tauB"	"c_000000247605"	44.361	133	74	0	217	615	71805	72203	9.31e-39	125	"GCA_026712845.1"
"tauB"	"NC_017098.1"	39.85	133	80	0	217	615	2977617	2977219	1.19e-34	125	"GCF_000242595.2"
"tauB"	"NODE_715_length_80875_cov_12.759589"	42.857	133	76	0	217	615	28397	28795	1.43e-39	125	"GCA_028818385.1"
"tauB"	"PWKH01000144.1"	37.821	156	97	0	193	660	1653	2120	1.61e-40	125	"GCA_003559765.1"
"tauB"	"QNBK01000295.1"	44.697	132	73	0	220	615	1111	1506	6.31e-41	125	"GCA_003644105.1"
"tauB"	"SKXQ01000037.1"	38.889	144	88	0	217	648	538	969	1.06e-34	125	"GCA_007128315.1"
"tauC"	"NC_023035.1"	35	160	104	0	217	696	3228843	3228364	7.6e-28	125	"GCF_000507245.1"
"tauB"	"NODE_1881_length_25989_cov_9.315802"	42.857	133	76	0	217	615	6192	5794	7.65e-40	124	"CNA0052603"
"tauB"	"NODE_29702_length_2074_cov_3.953442"	50.495	101	50	0	325	627	1513	1211	1.73e-47	124	"CNA0052525"
"tauB"	"SKXS01000135.1"	41.481	135	79	0	211	615	4778	5182	1.17e-40	124	"GCA_007128345.1"
"tauB"	"SKXS01000141.1"	41.353	133	78	0	217	615	699	1097	8.38e-44	124	"GCA_007128345.1"
"tauB"	"SLRR01000273.1"	40.602	133	79	0	217	615	3324	3722	1.48e-36	124	"GCA_007130865.1"
"tauB"	"DCBS01000099.1"	46.552	116	62	0	310	657	6232	6579	4.94e-45	123	"GCA_002313505.1"
"tauB"	"MUIB01000166.1"	43.609	133	75	0	217	615	6649	6251	1.18e-37	123	"GCA_002084135.1"
"tauB"	"NZ_UWYT01000278.1"	40.602	133	79	0	217	615	49370	48972	4.1e-37	123	"GCF_900608495.1"
"tauB"	"PWKH01000182.1"	39.394	132	80	0	220	615	756	1151	2.76e-36	123	"GCA_003559765.1"
"tauB"	"SKKC01000190.1"	43.182	132	75	0	217	612	9911	10306	1.77e-41	123	"GCA_007121695.1"
"tauC"	"NZ_JWTM01000532.1"	32.317	164	111	0	229	720	9570	9079	2.71e-27	123	"GCF_001749745.1"
"tauC"	"SKXS01000043.1"	34.177	158	104	0	226	699	7478	7951	1.97e-27	123	"GCA_007128345.1"
"tauB"	"NODE_178_length_161840_cov_121.348055"	42.105	133	77	0	217	615	50255	49857	1.28e-38	122	"GCA_028821475.1"
"tauB"	"NODE_322_length_97985_cov_11.442408"	49.505	101	51	0	325	627	2875	3177	4.84e-45	122	"CNA0052603"
"tauB"	"NODE_3398_length_17751_cov_4.729091"	42.857	133	76	0	217	615	14642	14244	2.44e-38	122	"CNA0052564"
"tauB"	"NODE_394_length_115674_cov_11.829466"	49.505	101	51	0	325	627	93867	93565	4.83e-45	122	"GCA_028818385.1"
"tauB"	"NODE_4852_length_13551_cov_4.416197"	42.105	133	77	0	217	615	6598	6996	6.29e-38	122	"CNA0052444"
"tauB"	"NODE_9036_length_7126_cov_4.631735"	49.505	101	51	0	325	627	2786	2484	4e-46	122	"CNA0052564"
"tauB"	"PLNO01000158.1"	41.353	133	78	0	217	615	4622	4224	8.7e-38	122	"GCA_003141795.1"
"tauB"	"QNBL01000187.1"	41.353	133	78	0	217	615	3159	3557	1.18e-40	122	"GCA_003641695.1"
"tauC"	"NZ_JNUP01000049.1"	37.324	142	89	0	238	663	25114	24689	3.72e-27	122	"GCF_000758165.1"
"tauC"	"PWKH01000043.1"	36.364	154	98	0	235	696	5655	5194	3.72e-27	122	"GCA_003559765.1"
"tauC"	"SLTF01000154.1"	34.194	155	102	0	226	690	1162	698	5.11e-27	122	"GCA_007130025.1"
"tauB"	"QNBL01000014.1"	41.353	133	78	0	217	615	16375	15977	5.7e-37	121	"GCA_003641695.1"
"tauB"	"SLBH01000105.1"	39.098	133	81	0	217	615	4323	4721	3.38e-35	121	"GCA_007126415.1"
"tauB"	"NZ_KE384557.1"	41.353	133	78	0	217	615	223575	223177	4.95e-39	120	"GCF_000426705.1"
"tauB"	"QNBK01000058.1"	42.105	133	77	0	217	615	1969	2367	5.16e-36	120	"GCA_003644105.1"
"tauB"	"SKXQ01000019.1"	40.152	132	79	0	220	615	64360	64755	1.95e-39	120	"GCA_007128315.1"
"tauB"	"SKXQ01000085.1"	40.146	137	82	0	205	615	15103	15513	1.3e-38	120	"GCA_007128315.1"
"tauB"	"SKXS01000274.1"	39.85	133	80	0	217	615	4648	4250	2.76e-36	120	"GCA_007128345.1"
"tauB"	"c_000000009987"	43.182	132	75	0	220	615	18217	17822	6.22e-38	119	"GCA_026712845.1"
"tauB"	"SKKC01000345.1"	38.519	135	83	0	211	615	3136	3540	2.77e-33	119	"GCA_007121695.1"
"tauB"	"SLAA01000215.1"	39.85	133	80	0	217	615	3064	2666	2.76e-36	119	"GCA_007127105.1"
"tauB"	"PUOW01000068.1"	42.222	135	78	0	211	615	992	588	2.71e-39	118	"GCA_003552185.1"
"tauB"	"PUOW01000168.1"	39.098	133	81	0	217	615	9689	10087	2.49e-35	118	"GCA_003552185.1"
"tauB"	"SKXS01000234.1"	38.346	133	82	0	217	615	2460	2062	5.21e-36	118	"GCA_007128345.1"
"tauB"	"SLBH01000191.1"	42.222	135	78	0	211	615	5450	5854	1.08e-39	118	"GCA_007126415.1"
"tauB"	"NODE_2664_length_31709_cov_10.901182"	41.667	132	77	0	220	615	22003	22398	1.17e-37	117	"GCA_028818385.1"
"tauB"	"NODE_3412_length_25120_cov_12.783722"	43.077	130	74	0	217	606	3559	3948	1.17e-37	117	"GCA_028818385.1"
"tauB"	"NZ_KB899427.1"	42.424	132	76	0	220	615	19359	18964	4.13e-34	117	"GCF_000378205.1"
"tauB"	"PXEI01000298.1"	39.098	133	81	0	217	615	1769	2167	3.81e-36	117	"GCA_003564775.1"
"tauB"	"QNBK01000114.1"	39.259	135	82	0	211	615	3243	3647	7.77e-40	117	"GCA_003644105.1"
"tauB"	"SKXS01000267.1"	39.85	133	80	0	217	615	4821	5219	1.19e-37	117	"GCA_007128345.1"
"tauB"	"SLIN01000294.1"	42.857	133	76	0	217	615	20367	19969	2.44e-38	117	"GCA_007135605.1"
"tauB"	"c_000000330159"	45.614	114	62	0	331	672	61761	61420	2.57e-41	116	"GCA_026712845.1"
"tauB"	"NC_023035.1"	38.462	143	88	0	229	657	2940921	2940493	6.59e-39	116	"GCF_000507245.1"
"tauB"	"NODE_122_length_177885_cov_9.000585"	42.308	130	75	0	217	606	40836	41225	1.58e-37	116	"CNA0052603"
"tauB"	"NODE_1632_length_36301_cov_4.970811"	43.182	132	75	0	220	615	18365	18760	7.71e-37	116	"CNA0052444"
"tauB"	"NODE_35728_length_1751_cov_3.815448"	46.491	114	61	0	331	672	678	1019	7.01e-41	116	"CNA0052525"
"tauB"	"NODE_3788_length_15884_cov_4.746731"	39.098	133	81	0	217	615	6544	6942	2.72e-39	116	"CNA0052564"
"tauB"	"NZ_FTMS01000001.1"	39.394	132	80	0	220	615	167676	168071	1.27e-38	116	"GCF_900156105.1"
"tauB"	"NZ_FTMS01000008.1"	39.098	133	81	0	217	615	50779	51177	5.04e-33	116	"GCF_900156105.1"
"tauB"	"NZ_KB891692.1"	39.394	132	80	0	220	615	167808	168203	6.15e-38	116	"GCF_000373545.1"
"tauB"	"NZ_QQPQ01000019.1"	41.667	132	77	0	220	615	17964	17569	2.19e-34	116	"GCF_003346715.1"
"tauB"	"PUPD01000123.1"	38.346	133	82	0	217	615	5515	5117	2.79e-33	116	"GCA_003552985.1"
"tauB"	"SKXQ01000003.1"	36.842	133	84	0	217	615	1816	1418	5.03e-39	116	"GCA_007128315.1"
"tauB"	"SKXS01000039.1"	37.594	133	83	0	217	615	423	25	1.2e-34	116	"GCA_007128345.1"
"tauB"	"SKZO01000002.1"	39.85	133	80	0	217	615	4385	4783	6.97e-39	116	"GCA_007127335.1"
"tauB"	"SKZO01000398.1"	38.028	142	88	0	190	615	26445	26020	1.99e-36	116	"GCA_007127335.1"
"tauB"	"SLRR01000280.1"	39.85	133	80	0	217	615	5892	6290	8.64e-38	116	"GCA_007130865.1"
"tauB"	"SLST01000478.1"	39.85	133	80	0	217	615	6594	6992	3.41e-35	116	"GCA_007130265.1"
"tauB"	"c_000000169286"	41.667	132	77	0	220	615	4308	4703	7.77e-37	115	"GCA_026710565.1"
"tauB"	"NC_014364.1"	40.411	146	87	0	166	603	4393844	4394281	1.53e-34	115	"GCF_000143985.1"
"tauB"	"NZ_KB891695.1"	39.85	133	80	0	217	615	52617	53015	3.26e-33	115	"GCF_000373545.1"
"tauB"	"QNBH01000293.1"	37.121	132	83	0	220	615	3117	2722	3.81e-36	115	"GCA_003645645.1"
"tauB"	"SKKC01000434.1"	37.594	133	83	0	217	615	1706	2104	2.21e-40	115	"GCA_007121695.1"
"tauB"	"SKQU01000133.1"	39.416	137	83	0	205	615	19411	19001	8.62e-38	115	"GCA_007118855.1"
"tauB"	"SLIN01000026.1"	36.09	133	85	0	217	615	6141	5743	3.09e-34	115	"GCA_007135605.1"
"tauB"	"SLTF01000275.1"	39.394	132	80	0	220	615	412	17	2.49e-38	115	"GCA_007130025.1"
"tauB"	"c_000000042457"	41.353	133	78	0	217	615	17329	17727	7.8e-37	114	"GCA_026710565.1"
"tauB"	"NODE_3753_length_13072_cov_9.109011"	42.105	133	77	0	217	615	5700	6098	7.83e-37	114	"CNA0052603"
"tauB"	"NODE_757_length_78077_cov_10.645959"	42.105	133	77	0	217	615	53826	53428	7.69e-37	114	"GCA_028818385.1"
"tauB"	"NZ_KB899414.1"	40.411	146	87	0	166	603	75712	76149	1.59e-34	114	"GCF_000378205.1"
"tauB"	"QNBH01000108.1"	39.394	132	80	0	220	615	9646	9251	6.33e-38	114	"GCA_003645645.1"
"tauB"	"SKXQ01000087.1"	40.602	133	79	0	217	615	944	546	3.35e-38	114	"GCA_007128315.1"
"tauB"	"SLST01000495.1"	38.346	133	82	0	217	615	9089	8691	1.47e-36	114	"GCA_007130265.1"
"tauC"	"SKXQ01000126.1"	33.553	152	101	0	235	690	11812	11357	1.13e-24	114	"GCA_007128315.1"
"tauB"	"c_000000166362"	40.602	133	79	0	217	615	7189	7587	2.41e-32	113	"GCA_026712845.1"
"tauB"	"NC_014364.1"	40.602	133	79	0	217	615	1933443	1933841	5.98e-35	113	"GCF_000143985.1"
"tauB"	"NODE_1062_length_62152_cov_108.299515"	42.424	132	76	0	220	615	45444	45049	3.69e-36	113	"GCA_028821475.1"
"tauB"	"NODE_434_length_78364_cov_9.248592"	40.909	132	78	0	220	615	71070	70675	2.19e-37	113	"CNA0052603"
"tauB"	"NZ_KB899415.1"	40.602	133	79	0	217	615	23093	23491	6.2e-35	113	"GCF_000378205.1"
"tauB"	"PLNO01000076.1"	40.458	131	78	0	223	615	20600	20208	5.64e-34	113	"GCA_003141795.1"
"tauB"	"PWQX01000167.1"	40.741	135	80	0	211	615	19838	20242	3.74e-36	113	"GCA_003556605.1"
"tauB"	"PXEI01000260.1"	40.152	132	79	0	217	612	5481	5086	4.21e-37	113	"GCA_003564775.1"
"tauC"	"c_000000166362"	33.333	147	98	0	226	666	78410	78850	2.93e-24	113	"GCA_026712845.1"
"tauC"	"NZ_MWQY01000004.1"	32.278	158	107	0	226	699	84568	84095	2.93e-24	113	"GCF_002087085.1"
"tauB"	"NC_014364.1"	40.602	133	79	0	217	615	1363433	1363035	1.37e-39	112	"GCF_000143985.1"
"tauB"	"NODE_10214_length_5962_cov_4.633486"	40.602	133	79	0	217	615	4939	4541	5.78e-31	112	"CNA0052444"
"tauB"	"NZ_KB899417.1"	40.602	133	79	0	217	615	105815	105417	1.75e-38	112	"GCF_000378205.1"
"tauB"	"QNBL01000021.1"	39.394	132	80	0	220	615	6257	6652	3.36e-38	112	"GCA_003641695.1"
"tauB"	"SKKC01000255.1"	38.346	133	82	0	217	615	940	542	2.78e-36	112	"GCA_007121695.1"
"tauC"	"SKQU01000416.1"	32.727	165	111	0	220	714	5885	5391	4.03e-24	112	"GCA_007118855.1"
"tauB"	"NODE_623_length_86985_cov_107.893604"	40.602	133	79	0	217	615	81048	81446	5.06e-30	111	"GCA_028821475.1"
"tauB"	"NZ_AUFW01000017.1"	42.202	109	63	0	334	660	89824	90150	3.59e-42	111	"GCF_000426705.1"
"tauB"	"PLNO01000181.1"	38.346	133	82	0	217	615	27678	27280	2.74e-33	111	"GCA_003141795.1"
"tauB"	"PWQX01000010.1"	38.298	141	87	0	193	615	13287	12865	1.19e-34	111	"GCA_003556605.1"
"tauC"	"SKZO01000391.1"	33.129	163	109	0	226	714	5864	5376	1.04e-23	111	"GCA_007127335.1"
"tauB"	"NBMC01000005.1"	40.152	132	79	0	220	615	67968	68363	2.43e-32	110	"GCA_002084805.1"
"tauB"	"NBMC01000011.1"	47.573	103	54	0	319	627	15047	15355	9.48e-36	110	"GCA_002084805.1"
"tauB"	"NBMC01000038.1"	37.778	135	84	0	211	615	14146	14550	3.39e-35	110	"GCA_002084805.1"
"tauB"	"NODE_23709_length_2589_cov_3.827151"	40.769	130	77	0	217	606	2198	2587	2.82e-30	110	"CNA0052525"
"tauB"	"NODE_9562_length_6776_cov_5.310519"	39.85	133	80	0	217	615	4749	4351	5.2e-30	110	"CNA0052564"
"tauB"	"QNBK01000022.1"	40.909	132	78	0	220	615	8414	8019	2.01e-33	110	"GCA_003644105.1"
"tauB"	"SKKC01000238.1"	39.098	133	81	0	217	615	1095	697	5.85e-34	110	"GCA_007121695.1"
